Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Vauxhall,Corsa 1.2 Turbo SRi 5dr,2020,Hatchback,5,5,Red,1.2,"£15,999","6,918 ",Petrol, 52.3 ,Manual,99 ,1,16-11-2021
Vauxhall,Corsa 1.2 SE 5dr,2020,Hatchback,5,5,Grey,1.2,"£14,999","7,159 ",Petrol, 53.3 ,Manual,74 ,1,16-11-2021
Volvo,XC90 B5 AWD,2021,Estate,5,7,Black,2.0,"£54,799","6,000 ",n/a, 40.9 ,Automatic,231 ,1,16-11-2021
Volvo,V40 T2 R-Design Edition,2019,Hatchback,5,5,White,2.0,"£18,799","14,500 ",Petrol, 39.8 ,Manual,121 ,1,16-11-2021
Volvo,S90 Recharge T8 Plug-in hybrid AWD Inscription Automatic,2021,Saloon,4,5,Blue,2.0,"£42,799",100 ,Hybrid, 148.7 ,Automatic,384 ,n/a,16-11-2021
Volvo,XC60 B5 FWD,2020,Estate,5,5,Silver,2.0,"£38,799","15,879 ",Hybrid, 38.2 ,Automatic,247 ,1,16-11-2021
Volvo,XC90 B5 AWD,2020,Estate,5,7,Grey,2.0,"£52,799","8,225 ",n/a, 42.2 ,Automatic,231 ,1,16-11-2021
Volvo,S90 Recharge T8 Plug-in hybrid AWD R-Design Automatic,2021,Saloon,4,5,Grey,2.0,"£51,999",100 ,Hybrid, 148.7 ,Automatic,384 ,n/a,16-11-2021
Volvo,V60 T4 R-Design Plus Automatic,2020,Estate,5,5,Grey,2.0,"£30,799","9,114 ",Petrol, 34.5 ,Automatic,188 ,1,16-11-2021
Volvo,XC90 B5 AWD,2020,Estate,5,7,Grey,2.0,"£51,999","4,776 ",n/a, 42.2 ,Automatic,231 ,1,16-11-2021
Volvo,XC60 B6 AWD,2020,Estate,5,5,Grey,2.0,"£39,799","3,243 ",Hybrid, 33.2 ,Automatic,295 ,1,16-11-2021
Vauxhall,Corsa 1.2 Turbo SRi Premium 5dr,2020,Hatchback,5,5,Blue,1.2,"£17,399",n/a,Petrol, 52.3 ,Manual,99 ,n/a,16-11-2021
Vauxhall,Mokka X 1.4T ecoTEC Active 5dr,2018,Hatchback,5,5,White,1.4,"£13,499","33,755 ",Petrol, 39.2 ,Manual,138 ,1,16-11-2021
BMW,3 Series 330d M Sport 4dr Step Auto,2018,Saloon,4,5,Blue,3.0,"£23,499","33,396 ",n/a, 56.5 ,Automatic,255 ,1,16-11-2021
Vauxhall,Crossland X 1.2 [83] Griffin 5dr [Start Stop],2020,Hatchback,5,5,Grey,1.2,"£14,499","14,912 ",Petrol, 47.1 ,Manual,82 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","20,581 ",Petrol, 64.2 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,White,1.1,"£11,999","2,895 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Silver,1.1,"£11,499","22,666 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost 140 ST-Line Navigation 5dr,2018,Hatchback,5,5,Black,1.0,"£14,499","17,027 ",Petrol, 47.9 ,Manual,138 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Blue,1.1,"£11,499","18,651 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Titanium 5dr,2018,Hatchback,5,5,Black,1.0,"£12,999","14,683 ",Petrol, 49.6 ,Manual,99 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Silver,1.1,"£10,999","21,877 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£10,999","15,670 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","14,428 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Silver,1.1,"£10,999","20,561 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","25,768 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Peugeot,208 PURETECH ALLURE S/S,2020,Hatchback,5,5,Grey,1.2,"£19,495","3,793 ",Petrol, 50.4 ,Automatic,129 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Grey,1.1,"£10,999","22,115 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","14,128 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","18,051 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,White,1.1,"£10,999","19,991 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Silver,1.1,"£10,499","22,511 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Blue,1.1,"£10,499","27,969 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Silver,1.1,"£11,499","22,820 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,White,1.1,"£11,499","19,429 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","14,759 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,White,1.1,"£11,499","24,341 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Grey,1.1,"£11,499","21,470 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Blue,1.1,"£11,499","21,694 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Ford,Transit Custom Trend DCIV Double Cab 300 L1 H1 2.0 130PS,2018,n/a,n/a,6,White,2.0,"£22,500 ","25,808 ",n/a, 44.1 ,Manual,128 ,1,16-11-2021
Seat,Leon 1.4 TSI 125 Xcellence Technology 5dr,2017,Hatchback,5,5,Blue,1.4,"£12,999","35,084 ",Petrol, 54.3 ,Manual,123 ,2,16-11-2021
Ford,Puma SUV 1.5 EcoBoost ST 5dr,2021,Hatchback,5,5,White,1.5,"£31,999","1,009 ",Petrol, 41.5 ,Manual,197 ,n/a,16-11-2021
Ford,EcoSport 1.0 EcoBoost 140 ST-Line 5dr,2018,Hatchback,5,5,White,1.0,"£17,499","6,256 ",Petrol, 43.5 ,Manual,138 ,1,16-11-2021
Volvo,XC40 T5 AWD R-Design Pro Auto,2019,Hatchback,5,5,White,2.0,"£38,799","7,900 ",Petrol, 31 ,Automatic,244 ,1,16-11-2021
Hyundai,i20 1.0T GDI 48V MHD SE CONNECT 5DR,2021,Hatchback,5,5,Black,1.0,"£17,000","2,769 ",Hybrid, 55.4 ,Manual,99 ,1,16-11-2021
Hyundai,i10 1.2 SE 5DR AUTO,2014,Hatchback,5,5,Black,1.2,"£7,500","47,016 ",Petrol, 45.6 ,Manual,86 ,2,16-11-2021
Hyundai,i30 2.0T GDI N PERFORMANCE 5DR,2019,Hatchback,5,5,White,2.0,"£27,500","14,162 ",Petrol, 34 ,Manual,271 ,1,16-11-2021
Ford,Focus 1.0 EcoBoost 125 ST-Line 5dr,2018,Hatchback,5,5,Grey,1.0,"£18,999","13,050 ",Petrol, 48.7 ,Manual,123 ,1,16-11-2021
Volkswagen,Polo 1.2 TSI Match 5dr,2017,Hatchback,5,5,White,1.2,"£11,999","34,000 ",Petrol, 60.1 ,Manual,89 ,1,16-11-2021
Ford,Transit Courier Base 1.5 TDCi 75PS,2016,n/a,n/a,2,White,1.5,"£8,500 ","45,531 ",n/a, 68.9 ,Manual,74 ,1,16-11-2021
Ford,Kuga 2.0 EcoBlue 190 ST-Line First Edition 5dr Auto AWD,2020,Hatchback,5,5,Black,2.0,"£34,999","7,265 ",n/a, 46.3 ,Automatic,187 ,1,16-11-2021
Nissan,Qashqai 1.5 dCi Acenta [Smart Vision Pack] 5dr,2017,Hatchback,5,5,Grey,1.5,"£14,499","25,591 ",n/a, 74.3 ,Manual,108 ,2,16-11-2021
Audi,A1 1.0 TFSI Sport 5dr,2016,Hatchback,5,5,Blue,1.0,"£14,499","19,362 ",Petrol, 67.3 ,Manual,93 ,3,16-11-2021
Ford,Fiesta 1.0 EcoBoost Zetec 5dr,2018,Hatchback,5,5,Red,1.0,"£11,999","23,808 ",Petrol, 49.6 ,Manual,99 ,1,16-11-2021
Ford,Focus 2.3 EcoBoost ST 5dr,2019,Hatchback,5,5,Orange,2.3,"£27,999","16,582 ",Petrol, 34.5 ,Manual,276 ,2,16-11-2021
Volvo,V90 D5 PowerPulse AWD R-Design Automatic,2017,Estate,5,5,White,2.0,"£27,299","35,300 ",n/a, 57.7 ,Automatic,231 ,2,16-11-2021
Volvo,XC60 D4 AWD R-Design Manual,2018,Estate,5,5,White,2.0,"£31,799","27,166 ",n/a, 39.2 ,Manual,188 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec 5dr,2018,Hatchback,5,5,Silver,1.1,"£11,499","17,160 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Hyundai,i10 PLAY,2019,Hatchback,5,5,Red,1.0,"£9,049","11,390 ",Petrol, 49.6 ,Manual,65 ,1,16-11-2021
Abarth,595 595 TURISMO 70th Anniversary 3dr - Upgrade Alloy Wheels,2018,Hatchback,3,4,Black,1.4,"£15,499","12,140 ",Petrol, 38.2 ,Manual,162 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Zetec 5dr,2017,Hatchback,5,5,Black,1.0,"£10,499","22,820 ",Petrol, 65.7 ,Manual,99 ,1,16-11-2021
Honda,CR-V I-VTEC SE PLUS NAVI,2018,Estate,5,5,White,2.0,"£25,499","12,967 ",Petrol, 37.7 ,Automatic,153 ,2,16-11-2021
Jaguar,F-PACE I V6 S AWD,2017,Estate,5,5,Grey,3.0,"£35,499","51,768 ",Petrol, 31.7 ,Automatic,375 ,2,16-11-2021
Volkswagen,Polo BEATS TSI,2019,Hatchback,5,5,Black,1.0,"£16,499","9,389 ",Petrol, 52.3 ,Manual,94 ,1,16-11-2021
Vauxhall,Astra 1.6 CDTi 16V ecoTEC Design 5dr,2018,Estate,5,5,Silver,1.6,"£7,999","79,388 ",n/a, 83.1 ,Manual,108 ,2,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Red,1.1,"£11,999","21,206 ",Petrol, 64.2 ,Manual,84 ,1,16-11-2021
Ford,Kuga 2.0 TDCi 163 Titanium X 5dr Powershift,2013,Hatchback,5,5,Grey,2.0,"£9,999","85,846 ",n/a, 45.6 ,Automatic,160 ,2,16-11-2021
Seat,Leon 1.4 EcoTSI 150 Xcellence Technology 5dr DSG [Lthr],2017,Estate,5,5,Blue,1.4,"£12,499","86,476 ",Petrol, 56.5 ,Automatic,148 ,1,16-11-2021
Ford,Focus 1.0 EcoBoost 125 Titanium 5dr,2019,Hatchback,5,5,Grey,1.0,"£17,999","14,408 ",Petrol, 49.6 ,Manual,123 ,1,16-11-2021
Nissan,Qashqai 1.3 DiG-T N-Connecta 5dr [Glass Roof/Executive],2019,Hatchback,5,5,White,1.3,"£20,999","18,852 ",Petrol, 40.4 ,Manual,140 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost 125 Titanium 5dr,2019,Hatchback,5,5,Blue,1.0,"£13,999","28,336 ",Petrol, 49.6 ,Manual,123 ,1,16-11-2021
Volkswagen,Up MOVE UP,2018,Hatchback,3,4,White,1.0,"£8,499","8,308 ",Petrol, 54.3 ,Manual,59 ,1,16-11-2021
Mazda,Mazda2 1.5 115 GT Sport Nav+ 5dr,2019,Hatchback,5,5,Black,1.5,"£16,990","2,377 ",Petrol, 48.7 ,Manual,113 ,n/a,16-11-2021
Ford,Fiesta ZETEC,2019,Hatchback,5,5,Black,1.0,"£13,499","17,207 ",Petrol, 49.6 ,Manual,99 ,1,16-11-2021
Peugeot,3008 SUV PURETECH S/S ALLURE,2018,Hatchback,5,5,Grey,1.2,"£21,499","19,626 ",Petrol, 55.4 ,Manual,130 ,2,16-11-2021
Volvo,XC60 D4 AWD R-Design Lux Nav Automatic,2016,Estate,5,5,Grey,2.4,"£21,799","63,500 ",n/a, 49.6 ,Automatic,187 ,2,16-11-2021
Volvo,XC90 D5 PowerPulse AWD Inscription Automatic,2016,Estate,5,7,Blue,2.0,"£37,799","22,400 ",n/a, 30.7 ,Automatic,247 ,1,16-11-2021
Mazda,Mazda3 2.0 Skyactiv X MHEV GT Sport 5dr,2020,Hatchback,5,5,Unknown,2.0,"£23,490","10,442 ",Petrol, 48.7 ,Manual,177 ,1,16-11-2021
Peugeot,2008 SUV PURETECH S/S ALLURE PREMIUM,2020,Hatchback,5,5,Grey,1.2,"£24,245","6,391 ",Petrol, 47.1 ,Automatic,129 ,1,16-11-2021
Peugeot,3008 SUV PURETECH S/S ALLURE,2018,Hatchback,5,5,White,1.2,"£20,455","39,063 ",Petrol, 55.4 ,Manual,130 ,1,16-11-2021
Vauxhall,Astra 1.6 CDTi 16V ecoTEC Design 5dr,2017,Estate,5,5,Silver,1.6,"£8,999","61,995 ",n/a, 83.1 ,Manual,108 ,2,16-11-2021
Citroen,C3 PURETECH FEEL,2017,Hatchback,5,5,Blue,1.2,"£9,199","29,999 ",Petrol, 60.1 ,Manual,80 ,2,16-11-2021
Mercedes-Benz,GLA-Class GLA 200 SPORT PREMIUM,2017,Estate,5,5,Black,1.6,"£24,999","7,846 ",Petrol, 50.4 ,Automatic,154 ,1,16-11-2021
Kia,Picanto 2,2019,Hatchback,5,5,White,1.2,"£10,499","7,991 ",Petrol, 43.5 ,Automatic,83 ,1,16-11-2021
Mazda,MX-5 2.0 Sport Black 2dr,2019,Convertible,2,2,Blue,2.0,"£22,999","12,121 ",Petrol, 40.9 ,Manual,158 ,1,16-11-2021
MINI,Mini 1.2 One 3dr,2016,Hatchback,3,4,Silver,1.2,"£11,999","27,830 ",Petrol, 61.4 ,Manual,101 ,2,16-11-2021
Vauxhall,Grandland X 1.2 Turbo Elite Nav 5dr,2019,Hatchback,5,5,Grey,1.2,"£22,999","22,095 ",Petrol, 44.1 ,Manual,128 ,1,16-11-2021
Ford,Kuga 2.0 TDCi ST-Line 5dr 2WD,2017,Hatchback,5,5,White,2.0,"£20,999","18,399 ",n/a, 60.1 ,Manual,148 ,2,16-11-2021
Audi,Q3 2.0 TDI Quattro S Line Plus 5dr S Tronic,2016,Estate,5,5,Blue,2.0,"£21,999","27,339 ",n/a, 51.4 ,Automatic,148 ,3,16-11-2021
Vauxhall,Corsa 1.4 Energy 5dr [AC],2018,Hatchback,5,5,Blue,1.4,"£9,999","20,865 ",Petrol, 55.4 ,Manual,89 ,2,16-11-2021
Mazda,MX-5 2.0i Sport Tech Nav 2dr,2015,Coupe,2,2,Grey,2.0,"£14,999","30,637 ",Petrol, 36.2 ,Manual,158 ,2,16-11-2021
Suzuki,Swift 1.4 Boosterjet Sport 5dr,2019,Hatchback,5,5,Red,1.4,"£15,499","27,176 ",Petrol, 47.1 ,Manual,138 ,1,16-11-2021
Toyota,C-HR 1.8 Hybrid Excel 5dr CVT,2018,Coupe,5,5,White,1.8,"£23,999","16,817 ",Hybrid, 72.4 ,Automatic,121 ,1,16-11-2021
Vauxhall,Corsa 1.4 [75] ecoFLEX Sting 3dr,2016,Hatchback,3,5,Red,1.4,"£7,499","40,000 ",Petrol, 55.4 ,Manual,74 ,3,16-11-2021
Kia,Sportage 1.7 CRDi ISG 3 5dr,2017,Estate,5,5,Blue,1.7,"£19,499","44,571 ",n/a, 61.4 ,Manual,114 ,1,16-11-2021
Vauxhall,Astra 1.6 CDTi 16V ecoFLEX SRi Nav 5dr,2016,Hatchback,5,5,Grey,1.6,"£9,499","49,710 ",n/a, 83.1 ,Manual,108 ,2,16-11-2021
Smart,fortwo 0.9 Turbo Black Edition 2dr Auto,2016,Coupe,2,2,Black,0.9,"£8,999","39,807 ",Petrol, 68.9 ,Automatic,90 ,3,16-11-2021
Ford,Focus 1.0 EcoBoost 140 ST-Line Navigation 5dr,2018,Hatchback,5,5,Blue,1.0,"£13,999","28,416 ",Petrol, 57.7 ,Manual,138 ,1,16-11-2021
Ford,Fiesta 1.5 TDCi Zetec Navigation 5dr,2019,Hatchback,5,5,Black,1.5,"£13,499","16,814 ",n/a, 58.9 ,Manual,84 ,1,16-11-2021
Ford,Puma SUV 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr,2021,Hatchback,5,5,Grey,1.0,"£25,499","5,013 ",Petrol, 50.4 ,Manual,123 ,1,16-11-2021
Mercedes-Benz,A-Class A200 AMG Line Premium 5dr Auto,2018,Hatchback,5,5,Black,1.3,"£25,999","22,403 ",Petrol, 53.3 ,Automatic,161 ,2,16-11-2021
Ford,Fiesta 1.0 EcoBoost 125 Active X 5dr,2020,Hatchback,5,5,Grey,1.0,"£18,999","14,650 ",Petrol, 47.1 ,Manual,123 ,1,16-11-2021
Dacia,Duster 1.6 SCe Comfort 5dr,2018,Hatchback,5,5,White,1.6,"£13,499","22,514 ",Petrol, 43.5 ,Manual,115 ,1,16-11-2021
Hyundai,Kona PREMIUM,2019,Hatchback,5,5,Grey,1.0,"£16,999","24,972 ",Petrol, 44.1 ,Manual,118 ,2,16-11-2021
Dacia,Sandero 0.9 TCE AMBIANCE 5DR,2017,Hatchback,5,5,Black,0.9,"£7,000","25,748 ",Petrol, 57.7 ,Manual,90 ,2,16-11-2021
Volkswagen,Passat 2.0 TDI SE BUSINESS 5DR,2015,Estate,5,5,Silver,2.0,"£11,500","72,337 ",n/a, 67.3 ,Manual,148 ,2,16-11-2021
Hyundai,i20 1.2 MPI SE 5DR,2019,Hatchback,5,5,Red,1.2,"£13,500","3,273 ",Petrol, 46.3 ,Manual,83 ,2,16-11-2021
Volkswagen,Transporter 2.0 TDI BMT 102 HIGHLINE VAN EURO 6,2019,n/a,n/a,5,Silver,2.0,"£27,500","24,584 ",n/a, 39.2 ,Manual,101 ,1,16-11-2021
Renault,Kadjar 1.2 TCE DYNAMIQUE NAV 5DR,2018,Hatchback,5,5,White,1.2,"£13,961","42,009 ",Petrol, 50.4 ,Manual,130 ,1,16-11-2021
Mazda,Mazda3 2.0 Skyactiv X MHEV SE-L Lux 5dr,2020,Hatchback,5,5,White,2.0,"£20,990","8,121 ",Petrol, 51.4 ,Manual,177 ,1,16-11-2021
Volvo,V40 D3 R-Design Manual,2017,Hatchback,5,5,White,2.0,"£15,799","40,000 ",n/a, 74.3 ,Manual,148 ,3,16-11-2021
Mazda,Mazda3 2.0 e-Skyactiv G MHEV GT Sport 5dr Auto,2021,Hatchback,n/a,n/a,White,2.0,"£22,990",846 ,n/a,n/a,Automatic,n/a,n/a,16-11-2021
Mazda,Mazda3 2.0 Sport Nav 5dr,2018,Hatchback,5,5,Red,2.0,"£17,490","13,933 ",Petrol, 55.4 ,Manual,118 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec 5dr,2018,Hatchback,5,5,Black,1.1,"£10,999","29,424 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Audi,A3 2.0 TDI S Line 5dr S Tronic,2017,Hatchback,5,5,Black,2.0,"£18,499","51,536 ",n/a, 61.4 ,Automatic,148 ,3,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","27,469 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Audi,A1 1.4 TFSI 150 S Line 5dr S Tronic,2016,Hatchback,5,5,Silver,1.4,"£14,999","50,131 ",Petrol, 58.9 ,Automatic,148 ,3,16-11-2021
Ford,Fiesta 1.0 EcoBoost ST-Line Navigation 3dr,2018,Hatchback,3,5,White,1.0,"£14,999","13,740 ",Petrol, 48.7 ,Manual,99 ,1,16-11-2021
Skoda,Superb 2.0 TDI CR Sport Line 5dr,2018,Hatchback,5,5,Grey,2.0,"£20,999","31,436 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
Ford,Fiesta 1.1 Zetec Navigation 5dr,2018,Hatchback,5,5,Black,1.1,"£11,499","27,760 ",Petrol, 48.7 ,Manual,84 ,1,16-11-2021
Peugeot,208 PURETECH S/S GT LINE,2017,Hatchback,5,5,Black,1.2,"£10,495","24,873 ",Petrol, 65.7 ,Manual,110 ,3,16-11-2021
Peugeot,3008 SUV THP S/S GT LINE PREMIUM,2018,Hatchback,5,5,Grey,1.6,"£26,000","16,374 ",Petrol, 48.7 ,Automatic,165 ,2,16-11-2021
Peugeot,2008 SUV BLUEHDI ALLURE PREMIUM,2019,Hatchback,5,5,Grey,1.5,"£15,295","29,783 ",n/a, 67.3 ,Manual,101 ,1,16-11-2021
Hyundai,ix20 1.4 BLUE DRIVE SE 5DR,2018,Hatchback,5,5,White,1.4,"£10,500","33,003 ",Petrol, 50.4 ,Manual,89 ,1,16-11-2021
Nissan,Micra 0.9 IG-T ACENTA LIMITED EDITION 5DR,2018,Hatchback,5,5,White,0.9,"£12,000","20,387 ",Petrol, 51.4 ,Manual,88 ,1,16-11-2021
Hyundai,i20 1.0 T-GDI PLAY 5DR,2019,Hatchback,5,5,White,1.0,"£15,000","15,473 ",Petrol, 47.9 ,Manual,99 ,1,16-11-2021
Mercedes-Benz,CLA CLA 180 AMG LINE 4DR,2018,Coupe,4,5,Silver,1.6,"£22,000","32,357 ",Petrol, 51.4 ,Manual,121 ,1,16-11-2021
Hyundai,Tucson 1.6 TGDI GO SE 5DR 2WD,2018,Estate,5,5,Grey,1.6,"£19,750","29,070 ",Petrol, 38.7 ,Manual,175 ,1,16-11-2021
Ford,Fiesta 1.5 TDCI ZETEC 5DR,2014,Hatchback,5,5,White,1.5,"£7,500","47,694 ",n/a, 76.4 ,Manual,74 ,3,16-11-2021
Hyundai,Kona 1.0T GDI BLUE DRIVE SE 5DR,2018,Hatchback,5,5,Blue,1.0,"£16,000","12,607 ",Petrol, 44.1 ,Manual,118 ,1,16-11-2021
Audi,A1 1.4 TFSI SPORT 5DR,2015,Hatchback,5,5,White,1.4,"£12,000","49,755 ",Petrol, 55.4 ,Manual,123 ,2,16-11-2021
Hyundai,i10 1.0 SE 5DR,2017,Hatchback,5,5,Blue,1.0,"£8,650","14,391 ",Petrol, 60.1 ,Manual,65 ,1,16-11-2021
Hyundai,i20 1.0 T-GDI,2019,Hatchback,5,5,Blue,1.0,"£15,000","11,274 ",Petrol, 47.9 ,Manual,99 ,1,16-11-2021
Hyundai,i10 1.0 SE 5DR,2019,Hatchback,5,5,Red,1.0,"£9,000","14,106 ",Petrol, 50.4 ,Manual,65 ,1,16-11-2021
Hyundai,ix20 1.6 SE 5DR AUTO,2019,Hatchback,5,5,Red,1.6,"£13,500","10,001 ",Petrol, 34.5 ,Manual,123 ,1,16-11-2021
Hyundai,i20 1.2 MPI SE 5DR,2018,Hatchback,5,5,White,1.2,"£13,000","12,575 ",Petrol, 46.3 ,Manual,83 ,1,16-11-2021
Hyundai,ix20 1.4 BLUE DRIVE SE 5DR,2015,Hatchback,5,5,White,1.4,"£9,000","37,026 ",Petrol, 50.4 ,Manual,89 ,2,16-11-2021
Ford,Fiesta 1.0 EcoBoost Zetec Navigation 5dr,2019,Hatchback,5,5,White,1.0,"£13,999","12,908 ",Petrol, 49.6 ,Manual,99 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost 125 ST-Line Navigation 5dr,2019,Hatchback,5,5,Grey,1.0,"£16,499","17,182 ",Petrol, 47.9 ,Manual,123 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Zetec Navigation 5dr,2019,Hatchback,5,5,Blue,1.0,"£13,999","4,427 ",Petrol, 49.6 ,Manual,99 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Active 1 Navigation 5dr,2019,Hatchback,5,5,Black,1.0,"£13,499","27,466 ",Petrol, 47.1 ,Manual,99 ,1,16-11-2021
Vauxhall,Astra 1.6 CDTi 16V ecoTEC Design 5dr,2017,Estate,5,5,Silver,1.6,"£7,999","79,844 ",n/a, 83.1 ,Manual,108 ,2,16-11-2021
Volvo,V60 D4 R-Design Plus Automatic,2020,Estate,5,5,Blue,2.0,"£32,799","7,300 ",n/a, 46.3 ,Automatic,188 ,2,16-11-2021
Ford,Fiesta 1.0 EcoBoost Titanium 5dr,2017,Hatchback,5,5,White,1.0,"£11,999","38,664 ",Petrol, 65.7 ,Manual,99 ,1,16-11-2021
Vauxhall,Mokka X 1.4T ecoTEC Design Nav 5dr,2018,Hatchback,5,5,White,1.4,"£13,999","33,644 ",Petrol, 39.2 ,Manual,138 ,1,16-11-2021
Vauxhall,Mokka X 1.4T ecoTEC Design Nav 5dr,2018,Hatchback,5,5,Silver,1.4,"£13,999","34,445 ",Petrol, 39.2 ,Manual,138 ,1,16-11-2021
Volvo,V90 D4 Momentum Automatic,2018,Estate,5,5,Grey,2.0,"£23,799","20,700 ",n/a, 134.5 ,Automatic,337 ,1,16-11-2021
Ford,Transit Custom Active 320S DCIV Double Cab 2.0 170PS Auto,2021,n/a,n/a,5,Silver,2.0,"£32,000 ","8,861 ",n/a, 32.1 ,Automatic,168 ,1,16-11-2021
Ford,Transit Custom Trend 300 L2 H2 2.0 Diesel 130PS,2019,n/a,n/a,3,Grey,2.0,"£21,000 ","36,796 ",n/a, 44.1 ,Manual,128 ,1,16-11-2021
Hyundai,Kona 1.0T GDI BLUE DRIVE PREMIUM 5DR,2020,Hatchback,5,5,Red,1.0,"£18,750","9,960 ",Petrol, 44.1 ,Manual,118 ,1,16-11-2021
Hyundai,i10 1.0 BLUE DRIVE SE 5DR,2016,Hatchback,5,5,Blue,1.0,"£7,500","11,358 ",Petrol, 61.4 ,Manual,65 ,2,16-11-2021
Seat,Mii 1.0 75 FR LINE 5DR,2017,Hatchback,5,4,Blue,1.0,"£8,500","13,853 ",Petrol, 61.4 ,Manual,74 ,2,16-11-2021
Hyundai,i20 1.0T GDI TURBO EDITION 5DR,2016,Hatchback,5,5,Grey,1.0,"£8,500","50,331 ",Petrol, 62.8 ,Manual,99 ,1,16-11-2021
Nissan,X-Trail 1.6 DCI N-TEC 5DR 4WD [7 SEAT],2016,Estate,5,7,White,1.6,"£15,000","71,390 ",n/a, 52.3 ,Manual,130 ,2,16-11-2021
Hyundai,Kona 1.0T GDI BLUE DRIVE SE 5DR,2018,Hatchback,5,5,Red,1.0,"£16,000","7,012 ",Petrol, 44.1 ,Manual,118 ,1,16-11-2021
